_id,title,roomName,gender,roomType,py,deposit,rentFee,region,brandType,roomOption,url,imgUrl
65dab2d5ed6261510baeb6a4,매물번호 42337542,매물번호 42337542,공용,그 외,43.17㎡,9000만원,10만원,서울특별시 관악구 신림동,일반사업자,\n,https://www.dabangapp.com/room/65d97bb33844974ac6608496,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab2dbed6261510baeb6a5,매물번호 41911418,매물번호 41911418,공용,그 외,21.68㎡,100만원,35만원,"경기도 안산시 단원구 성곡동 839-9, 1동",일반사업자,천장형\n책상\n옷장\n식탁\n신발장\n냉장고\n세탁기\n건조기\n샤워부스\n비데\n싱크대\n인덕션\nTV\n붙박이장\n경비원\n비디오폰\n인터폰\n카드키\nCCTV\n사설경비\n현관보안\n방범창,https://www.dabangapp.com/room/65bdddaa4ae1ee6e2840eda5,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab2e1ed6261510baeb6a6,매물번호 41911418,매물번호 41911418,공용,그 외,21.68㎡,500만원,65만원,"경기도 안산시 단원구 성곡동 839-9, 1동",일반사업자,천장형\n옷장\n신발장\n냉장고\n세탁기\n샤워부스\n싱크대\n인덕션\nTV\n붙박이장\n화재경보기\n무인택배함\n경비원\n인터폰\n카드키\nCCTV\n현관보안,https://www.dabangapp.com/room/65d5a2dc4439a8529f29bec4,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab2e7ed6261510baeb6a7,매물번호 41811524,매물번호 41811524,공용,그 외,39.66㎡,1000만원,47만원,경기도 구리시 토평동,일반사업자,벽걸이형\n신발장\n냉장고\n세탁기\n싱크대\n베란다\n인터폰,https://www.dabangapp.com/room/65b877da53b76d0d4e97e4f4,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab2eded6261510baeb6a8,매물번호 42335292,매물번호 42335292,공용,1인실,25㎡,1000만원,30만원,서울특별시 노원구 공릉동,일반사업자,벽걸이형\n신발장\n냉장고\n세탁기\n싱크대\n인덕션\n전자레인지\n화재경보기\n무인택배함\n비디오폰\n카드키\nCCTV\n현관보안\n방범창,https://www.dabangapp.com/room/65d853cb1f13984fdc44fc7b,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab2f4ed6261510baeb6a9,매물번호 42146249,매물번호 42146249,공용,그 외,17.95㎡,1000만원,60만원,경기도 하남시 망월동 1119-1,일반사업자,천장형\n책상\n옷장\n신발장\n냉장고\n세탁기\n샤워부스\n비데\n싱크대\n인덕션\n전자레인지\n화재경보기\n무인택배함\n경비원\n비디오폰\n카드키\nCCTV\n현관보안,https://www.dabangapp.com/room/65cde41c50f4b86aa3da6886,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab2f9ed6261510baeb6aa,매물번호 41797630,매물번호 41797630,공용,그 외,49.58㎡,3000만원,60만원,경기도 수원시 권선구 당수동,일반사업자,신발장\n세탁기\n싱크대\n가스레인지\n베란다\n테라스\n인터폰\nCCTV\n현관보안,https://www.dabangapp.com/room/65b77806c616730352b9bcde,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab300ed6261510baeb6ab,매물번호 41926449,매물번호 41926449,공용,1인실,26.44㎡,1000만원,40만원,서울특별시 동작구 사당동,일반사업자,벽걸이형\n책상\n옷장\n신발장\n냉장고\n세탁기\n싱크대\n인덕션\n화재경보기\n무인택배함\n인터폰\nCCTV\n현관보안\n방범창,https://www.dabangapp.com/room/65c03d2bdffddd27e49a03f1,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab306ed6261510baeb6ac,매물번호 41926449,매물번호 41926449,공용,1인실,26.44㎡,1000만원,40만원,서울특별시 동작구 사당동,일반사업자,벽걸이형\n책상\n옷장\n신발장\n냉장고\n세탁기\n싱크대\n인덕션\n화재경보기\n무인택배함\n인터폰\nCCTV\n현관보안\n방범창,https://www.dabangapp.com/room/65d4031560a0111efad7206e,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
65dab30bed6261510baeb6ad,매물번호 42128470,매물번호 42128470,공용,그 외,54.48㎡,3000만원,90만원,경기도 광주시 태전동,일반사업자,\n,https://www.dabangapp.com/room/65cd7d2a09c4592fbd44cc64,https://d1774jszgerdmk.cloudfront.net/1024/uCtHEMbF1I79lfPgIhws5
